trt,title,field,verdict,drop_stage,isim_adayi,guven,kanit_frame,kanit_ocr,gorsel_gozlem,note,code_location,fix_hint
01:31:25,,YONETMEN,D_JENERIKTE_YOK,,,YUKSEK,E:\MITAS\Database\UZAKTAKİ KASABA 2001-9375-1-0000-00-1\master_dilim\giris_reading_master_runaware_p03.png (son kare: 'Director of Photography David Garden'),ocr_ham.txt satir 139: '2nd Unit Director GREGORY RUZZIN' — dosyada 'Directed by' / 'DIRECTOR' (ana yonetmen unvani) hicbir satirda gecmiyor,"Giris master (giris_reading_master_runaware.png + master_dilim p01/p02/p03) sirayla: Studio/production kredileri -> tam cast listesi (John Mahoney, Linda Emond, Lindsay Crouse, Virginia Madsen, Ian Gomez, Nathan Davis, Tom Groenwald, Lucy Reeves...) -> Casting by -> Costume Designer -> Music by David Reynolds -> Editor Jennifer Krouse -> Production Designer Jay Pelissier -> Director of Photography","Jenerikte ana yonetmen kredisi fiziksel olarak yok gorunuyor (2nd Unit Director var, ana Director yok); _DURUM.json 'yönetmen garble (okunamadı)' diyor ama gorsel+OCR taramasi 'garble/okunamadi' degil 'hic mevcut degil' gosteriyor -> D_JENERIKTE_YOK, C_OKUNAMAZ degil.",,"Jenerikte ana yonetmen kredisi fiziksel olarak yok gorunuyor (2nd Unit Director var, ana Director yok); _DURUM.json 'yönetmen garble (okunamadı)' diyor ama gorsel+OCR taramasi 'garble/okunamadi' degil 'hic mevcut degil' gosteriyor -> D_JENERIKTE_YOK, C_OKUNAMAZ degil."
1900-0138,21. YÜZYIL EŞİĞİNDE TÜRK AİLESİ,YONETMEN,D_JENERIKTE_YOK,,,YUKSEK,E:\MITAS\Database\21. YÜZYIL EŞİĞİNDE TÜRK AİLESİ 1900-0138-0-0009-00-1\giris_reading_master_runaware.png,DEVLET BAKANLIĞI / Aile Araştırma Kurumu / Sunar / 21. Yüzyılın Eşiğinde / TÜRK AİLESİ / MEHMET GÜN ... KAMERA ... PRGRAM Yrd ... JENERİK / MONTAJ / SES MİKSAJ / MÜZİK / YAPIM / HAZIRLAYAN ZEYNEP TOR / GENEL KOORDİNATÖR HÜSEYİN KARAKAŞ,"Giris master-PNG (13 panel, tam okunur) ve cikis master-PNG (8 panel, tam okunur) bastan sona incelendi; ne 'YONETMEN' ne 'YONETEN' ne 'REJI' ne 'DIRECTOR' kelimesi/satiri hicbir karede yok. Bu bir dokumanter-arastirma programi (Devlet Bakanligi Aile Arastirma Kurumu 'Sunar/Sundu'); rol yapisi Kamera/Isik/Prgram Yrd/Arastirma Ekibi/Produksiyon/Cevililer/Jenerik/Montaj/Ses Miksaj/Muzik/Hazirlayan/G","3 farkli OCR motoru (final kunye.txt, ham dilim_oneocr.txt, VL/gemma_kunye.json) ve 2 master frame (giris+cikis) hep ayni sonucu veriyor: yonetmen ibaresi jenerikte yok. Format itibariyle 'yonetmen' yerine 'Genel Koordinator/Hazirlayan/Yapim' kullanilmis olabilir; KONTROL karari (okunamadi) yerine D_JENERIKTE_YOK daha dogru olabilir.",,"3 farkli OCR motoru (final kunye.txt, ham dilim_oneocr.txt, VL/gemma_kunye.json) ve 2 master frame (giris+cikis) hep ayni sonucu veriyor: yonetmen ibaresi jenerikte yok. Format itibariyle 'yonetmen' yerine 'Genel Koordinator/Hazirlayan/Yapim' kullanilmis olabilir; KONTROL karari (okunamadi) yerine D_JENERIKTE_YOK daha dogru olabilir."
1900-0138,21. YÜZYIL EŞİĞİNDE TÜRK AİLESİ,KIMLIK,A_ELENDI,cast_cap,NABI AVCI; AYŞE KARAMEHMET,YUKSEK,E:\MITAS\Database\21. YÜZYIL EŞİĞİNDE TÜRK AİLESİ 1900-0138-0-0009-00-1\1900-0138-0-0009-00-1 21. YÜZYIL EŞİĞİNDE TÜRK AİLESİ cikis.png,"kunye_teslim.md -> Oyuncular: ÜMİT KÜL; NAZIM EDEER; ÖZCAN SÜRMELİ (bunlar KAMERA Yrd./IŞIK EKİBİ teknik personeli, sunucu degil)","Cikis master-PNG'de programin gercek sunuculari acikca okunuyor: 'Doç. Dr. NABI AVCI' ve 'AYŞE KARAMEHMET' (alt-yazi karti, tam net). Bu isimler final kunye_teslim.md'nin 'Oyuncular' listesine GIRMEMIS; onun yerine KAMERA/ISIK teknik ekip isimleri (ÜMİT KÜL, NAZIM EDEER, ÖZCAN SÜRMELİ) 'Oyuncular' olarak yazilmis, gercek sunucular NABI AVCI/AYŞE KARAMEHMET 'Diğer' (Yapim Ekibi) listesine dusurulmu","Cast okunurdu (B degil, gorsel net) ama pipeline yanlis siniflandirma yapmis: teknik ekip 'Oyuncu' sayilmis, gercek sunucu ikilisi cast alanindan dislanmis -- classification/kategori hatasi, D_JENERIKTE_YOK degil cunku isimler jenerikte fazlasiyla var.",,"Cast okunurdu (B degil, gorsel net) ama pipeline yanlis siniflandirma yapmis: teknik ekip 'Oyuncu' sayilmis, gercek sunucu ikilisi cast alanindan dislanmis -- classification/kategori hatasi, D_JENERIKTE_YOK degil cunku isimler jenerikte fazlasiyla var."
1933-0013,YÜZYILIN CİNAYETİ,YONETMEN,D_JENERIKTE_YOK,,,YUKSEK,E:\MITAS\Database\YÜZYILIN CİNAYETİ 1933-0013-1-0000-00-1\frames\giris_jenerik\g_0011.png,ocr_ham.txt satir1-6: 3TAU'R9 / VR163 DR / 3TRU'89 / BTRUIR9 / QUANEM / HAL,"g_0008/g_0011/g_0012'de goruntu kapi camindaki 'PRIVATE / NO ENTRY' levhasi (sahne nesnesi, ayna/ters yansima); gercek jenerik-kredi karti degil, yonetmen ismi hic yok",Pipeline gercek acilis/kapanis jenerigini hic yakalayamamis; OCR sahne icindeki kapi levhasi ve viski etiketini 'kredi' sanmis. drop_stage=guard/garble_gate oncesi zaten kaynak yok.,,Pipeline gercek acilis/kapanis jenerigini hic yakalayamamis; OCR sahne icindeki kapi levhasi ve viski etiketini 'kredi' sanmis. drop_stage=guard/garble_gate oncesi zaten kaynak yok.
1933-0013,YÜZYILIN CİNAYETİ,KIMLIK,E_VERI_YOK,,,ORTA,E:\MITAS\Database\YÜZYILIN CİNAYETİ 1933-0013-1-0000-00-1\frames\cikis\c_0700.png,"trace.jsonl kb.external_lookup: verdict=KAYNAK_YOK, cast_ortusme=null, otoriter_yonetmen=[]","Sahnelerdeki kostum/dekor/goruntu kalitesi (c_0700, c_0077, g_0100) 1933 yapimiyla gorsel olarak tutarsiz, modern renkli TV-filmi izlenimi veriyor; kimlik celiskisi gorsel olarak da makul","KB+Wiki+IMDb hicbir eslesme bulamamis (KAYNAK_YOK), web capasi kilitlenememis; kimlik kurulamadi hukmu OCR/CAST eksikligiyle de tutarli.",,"KB+Wiki+IMDb hicbir eslesme bulamamis (KAYNAK_YOK), web capasi kilitlenememis; kimlik kurulamadi hukmu OCR/CAST eksikligiyle de tutarli."
1933-0013,YÜZYILIN CİNAYETİ,CAST,D_JENERIKTE_YOK,,,YUKSEK,E:\MITAS\Database\YÜZYILIN CİNAYETİ 1933-0013-1-0000-00-1\frames\giris_jenerik\g_0037.png,"ocr-869f283f/kunye.txt: 'VR163 DR' / 'のラ' (2 satir toplam, isim yok)","giris_jenerik'teki 7 karenin (g_0008,11,12,23,27,28,37) hicbirinde gercek jenerik-kredi metni yok; hepsi sahne objesi (kapi levhasi + OLD QUAKER viski etiketi); VL fallback (gemma4:26b) de cast=[] donmus","Gercek acilis jenerigi videoda tespit edilememis/yakalanamamis oldugundan oyuncu isimleri kaynakta mevcut degil (D), OCR okuma hatasi degil.",,"Gercek acilis jenerigi videoda tespit edilememis/yakalanamamis oldugundan oyuncu isimleri kaynakta mevcut degil (D), OCR okuma hatasi degil."
1933-0013,YÜZYILIN CİNAYETİ,OZET,OZET_TRANSKRIPT_YOK,,,YUKSEK,,"asr/asr-6d3df5fb/run/subtitle.json: {""altyazili"": false, ""oran"": 0.0, ""hits"": 0, ""total"": 60}",,"_DURUM.json asr_status='failed', transcript_chars=null; transcript*.txt/chlang.json hic yok; final ciktida '(ÖZET AYRI BİR ADIMDA ÜRETİLECEKTİR.)' placeholder kalmis.",,"_DURUM.json asr_status='failed', transcript_chars=null; transcript*.txt/chlang.json hic yok; final ciktida '(ÖZET AYRI BİR ADIMDA ÜRETİLECEKTİR.)' placeholder kalmis."
1933-0013,YÜZYILIN CİNAYETİ,RENDER,C_OKUNAMAZ,,,DUSUK,E:\MITAS\Database\YÜZYILIN CİNAYETİ 1933-0013-1-0000-00-1\ocr\ocr-869f283f\ocr_ham.txt,"ocr_ham.txt satir 7,21,22,25,28: 'ن' / '區' / 'டல்ல' / '١١' / '٠' (Arapca/Cince/Tamil/Arapca-rakam karisik)","Frame'lerde (g_0023/27/28/37) sadece bulanik 'OLD QUAKER' etiketi var, Latin-disi yazi gorsel olarak dogrulanamadi; ham OCR'daki cok-alfabeli gurultu muhtemelen dusuk-cozunurluklu bulanik bolgelerden OCR halusinasyonu","qwen_qc.latin_disi_alfabe_var=false ve turkce_karakter_bozuk_var=false ile celisiyor; final alanlar zaten bos oldugu icin sizinti final render'a yansimamis, route.agir'deki 'RENDER' etiketi ham-OCR gurultusune dayanigor, final PDF'e degil.","scripts/credit_text_read.py:1750-1796 (nonlatin_source tetikleyici) ; scripts/credit_qc_block.py:826-832 (_ekle('RENDER',...)) ; scripts/credit_severity_router.py:110-112,177 (route/classify) ; scripts/translit_util.py:29-57 (detect_script)",Degisiklik gerekmiyor (fonksiyonel olarak dogru calisiyor): route etiketi zaten cok-nedenli KONTROL kararina katki olarak kullaniliyor ve kod isim uretmedigi icin sizinti riski yok. Istege bagli iyilestirme: credit_severity_router.py'de RENDER nedeni raporlanirken 'final ciktida sizinti yok (guard temizledi)' notu eklenebilir ki reviewer 'RENDER' etiketini 'gercek karakter kirlenmesi' ile karistir
1942-0020,LAUREL HARDY,YONETMEN,A_ELENDI,lexicon_anchor_misparse,ALFRED WERKER,YUKSEK,E:\MITAS\Database\LAUREL HARDY 1942-0020-1-0000-00-1\frames\giris\g_0079.png,"debug_trace/artifacts/ocr/ocr_ham.txt satir 76: 'ALFRED WERKER' + ocr_raw_reads.jsonl frame_file=g_0077..g_0083 text='ALFRED WERKER' (6 kez ardarda, oneocr engine)","frames/giris/g_0077-g_0083.png (7 ardisik frame) ve master_dilim/giris_reading_master_runaware_p03.png icinde 'Directed by' basligi altinda buyuk, net, karikaturlu 'ALFRED WERKER' iki kez tekrarli olarak gorunuyor; hicbir bozulma yok, tam okunur.","Ham OCR ve frame'de dogru okunmus ama credit_text/LLM asamasi 'Art Direction' satirinin bozuk hali olan 'Art Dirg fio'yu yanlislikla yonetmen adayi secmis (video_kunye asamasi 'yon:rescue' etiketiyle); dogru 'ALFRED WERKER' adayi hic degerlendirilmemis, KB'de 'Alfred L. Werker' ile de eslesmedigi icin 'Art Dirg fio' dusurulmus ve alan bos birakilmis (yon_resurrect_blocked=['ART DIRG FIO'], yonetme","scripts/credit_text_read.py:1495-1548 (_yon_rescue_auto, ozellikle eski commit 8ffbb4a5'teki 'for _j in (_i+1, _i-1)' satiri, guncel HEAD'de dd55c0ae ile (_i+1,_i+2,_i-1)+_ROLE_VETO_F olarak DUZELTILDI); scripts/tek_film_kunye.py:439-470 (yon_kaynak='okunamadi (OCR yonetmen KB ile eslesmedi; zorlanmadi)'); scripts/credit_crosscheck.py:573-594 (crosscheck() verdict=CELISKI, otoriter_yonetmen dondurur ama yon'u hic yazmaz)","Bu belirli hata ZATEN duzeltildi (commit dd55c0ae, 2026-07-05 07:29, +2 pencere + _ROLE_VETO_F fuzzy rol-etiketi vetosu). Film sadece SAAT farkiyla (22:37 vs ertesi gun 07:29) eski koddan gecti. Aksiyon: bu filmi (1942-0020-1-0000-00-1 LAUREL HARDY) pipeline'dan YENIDEN kosturmak yeterli -> guncel kod dogru 'ALFRED WERKER'i uretecektir (KIRMIZI CIZGI politikasina bile gerek kalmadan, cunku rescue "
1942-0020,LAUREL HARDY,KIMLIK,A_ELENDI,deferans,"Cast listesi (Sheila Ryan, John Shelton, Don Costello, Elisha Cook Jr., Edward Gargan, Addison Richards, George Lynn, James Bush, Lou Lubin, Robert Emmett Keane, Richard Lane, Willie Best)",YUKSEK,E:\MITAS\Database\LAUREL HARDY 1942-0020-1-0000-00-1\1942-0020-1-0000-00-1 LAUREL HARDY cikis.png,ocr/ocr-eb5d0fa5/kunye.txt: 'CAST / Laurel and Hardy .THEMSELVES / Dante the Magieian. HIMSELF / Margo SHEILA RYAN / ... / Waiter .WILLIE BEST',1942-0020-1-0000-00-1 LAUREL HARDY cikis.png: 'CAST' basligi altinda 13 oyuncu-rol eslesmesi tamamen net ve okunur; hiçbir bozulma yok.,"KB cross-check cast_ortusme=8/8 (otoriter_cast: Stan Laurel, Oliver Hardy, Dante, Sheila Ryan, John Shelton, Don Costello, Elisha Cook Jr., Edward Gargan) tam eslesiyor; kimlik.locked=true, imdb_id=tt0034424 bulunmus. 'ÇELİŞKİ' etiketi cast eksikliginden degil, YONETMEN bos kaldigi icin identity tam kilitlenememesinden kaynaklaniyor -> kimlik gercekte kurulmus ama yonetmen-bosluguna bagli sekilde ",,"KB cross-check cast_ortusme=8/8 (otoriter_cast: Stan Laurel, Oliver Hardy, Dante, Sheila Ryan, John Shelton, Don Costello, Elisha Cook Jr., Edward Gargan) tam eslesiyor; kimlik.locked=true, imdb_id=tt0034424 bulunmus. 'ÇELİŞKİ' etiketi cast eksikliginden degil, YONETMEN bos kaldigi icin identity tam kilitlenememesinden kaynaklaniyor -> kimlik gercekte kurulmus ama yonetmen-bosluguna bagli sekilde "
